Input Size,Quick,Merge,BottomUpMerge,Shell,Insertion,Selection
486,1ms,0ms,0ms,0ms,3ms,2ms,
1512,1ms,0ms,0ms,2ms,10ms,11ms,
556,0ms,1ms,0ms,0ms,4ms,2ms,
148,0ms,0ms,0ms,0ms,0ms,1ms,
2021,0ms,0ms,2ms,3ms,19ms,18ms,
2126,1ms,0ms,0ms,1ms,54ms,49ms,
74,0ms,0ms,0ms,0ms,0ms,0ms,
3443,3ms,0ms,0ms,2ms,72ms,61ms,
2145,0ms,0ms,0ms,1ms,1ms,6ms,
2681,0ms,1ms,1ms,5ms,30ms,67ms,
3328,0ms,1ms,1ms,0ms,90ms,14ms,
4150,0ms,0ms,1ms,1ms,42ms,28ms,
4451,2ms,3ms,2ms,7ms,108ms,55ms,
4472,4ms,3ms,2ms,7ms,113ms,65ms,
5753,0ms,1ms,0ms,2ms,11ms,65ms,
7009,0ms,1ms,1ms,4ms,73ms,93ms,
6994,5ms,5ms,4ms,6ms,117ms,92ms,
7602,1ms,2ms,4ms,8ms,111ms,106ms,
9304,1ms,1ms,0ms,3ms,10ms,127ms,
8771,1ms,2ms,2ms,5ms,99ms,153ms,
9030,0ms,1ms,1ms,3ms,10ms,148ms,
8819,1ms,1ms,4ms,4ms,81ms,160ms,
8943,6ms,5ms,6ms,10ms,117ms,173ms,
9593,0ms,7ms,9ms,2ms,92ms,169ms,
8402,5ms,3ms,1ms,8ms,124ms,173ms,
